name,location,date,channel,status,
Pirelli World Challenge GT/GTA/GT Cup,St. Petersburg,2017-03-18T14:00:00,CBSSN,Premiere,
Pirelli World Challenge GT4/GTS,St. Petersburg,2017-03-22T22:30:00,CBSSN,Premiere,
Pirelli World Challenge GT/GTA/GT Cup,St. Petersburg,2017-03-25T10:00:00,CBSSN,Re-Broadcast,
Pirelli World Challenge GT4/GTS,St. Petersburg,2017-03-25T14:00:00,CBSSN,Re-Broadcast,
Pirelli World Challenge GT/GTA/GT Cup Round 1,St. Petersburg,2017-03-11T09:35:00,MotortrendOnDemand.com,Live,
Pirelli World Challenge GT/GTA/GT Cup Round 2,St. Petersburg,2017-03-12T15:15:00,MotortrendOnDemand.com,Live,
Pirelli World Challenge GT4/GTS Round 1,St. Petersburg,2017-03-10T12:15:00,MotortrendOnDemand.com,Live,
Pirelli World Challenge GT4/GTS Round 2,St. Petersburg,2017-03-11T12:55:00,MotortrendOnDemand.com,Live,
Pirelli World Challenge GT/GTA,Long Beach,2017-04-09T14:30:00,CBSSN,Premiere,
Pirelli World Challenge GT/GTA,Long Beach,2017-04-09T18:30:00,CBSSN,Re-Broadcast,
Pirelli World Challenge GT-X/GTC-X/GTS-X,Virginia International Raceway,2017-05-07T18:00:00,CBSSN,Premiere,
Pirelli World Challenge GT4/GTS,Virginia International Raceway,2017-05-14T17:00:00,CBSSN,Premiere,
Pirelli World Challenge TC/TCA/TCB,Virginia International Raceway,2017-05-14T16:00:00,CBSSN,Premiere,Rebroadcast not listed yet
